How do you do?;Как дела?
Nice to meet you;Рад с тобой познакомиться
listen to music;слушать музыку
to be out;выйти, не быть на месте
you are welcome;добро пожаловать
draw;рисовать карандашом, чертить
cassmates;однослассник
to write poems;писать стихи
Excuse me?;извините?
sailor;моряк
architect;архитектор
seller;продавец
hear;слышать
listen;слушать
seldom;редко
nervous;нервный
to be upset;расстраиваться
kind;добрый
really;действительно
wonderful;замечательный
What time is it?;который час?
aerobics;аэробика
as...as...;такой...как...
exciting;увлекательный, волнующий
debt;долг
the worst;худший
a thing;вещь
poverty;бедность
worth;стоящий
candle;свеча
the weather forecast for tomorrow;прогноз погоды на завтра
than;чем
right;правильный
wrong;неправильный
still;всё-ещё, до сих пор
yet;ещё
loneliness;одиночество
rise;подниматься
Here you are;Вот, возьми
a flat, an appartment;квартира
a ruler;линейка
phone talk;телефонный разговор
a rubber;резинка
an eraser;ластик
task;задание
midday;полдень
midnight;полночь
by bus/car/train; на автобусе/машине/поезде
a page;страница
a room;комната
clothes;одежда
alone;один, в одиночестве
to go/come/get/arrive home;идти/приходить/добираться/прибывать домой
to be at home;быть дома
to study;учиться
to put on;одеваться, надевать
a nurse;медсестра
most;большинство
often;часто
to remember;помнить
a deer;олень
to believe;верить
to be a success in;иметь успех в ч.л.
plot;сюжет
to choose;выбирать
respect;уважать
boring;скучный
a spoon;ложка
a fork;вилка
large;большой
few;мало
near;близкий
far;далекий
thin;тонкий
thick;толстый
narrow;узкий
a dictation;диктант
important;важный
sleepy;сонный, заспанный
to be ill;быть больным
several;несколько
careful;осторожен
especially;особенно
intelligent;умный
cheap;дешевый
sick;больной
glad to see you;рад видеть тебя
handsome;красивый (мужчина)
kilometers away;километров отсюда
celebration;праздновать
celebrity;знаменитость
a plate;тарелка
to be on the way back home;быть на пути зимой
to meet;встречаться
usually;обычно
a sister called;сестра, которую зовут
quite;довольно-таки
a walkman;плейер
a cassette-recorder;магнитофон
to let;позволять
to take photos;фотографировать
sunglasses;солнцезащитные очки
a sunshade;зонт от солнца
to put up;подниматься вверх
a newspaper;газета
a film;пленка
black and white;черно-белый
everybody;весь, каждый
an insect;насекомое
a leg;лапа, нога
Hurry up;поторопись
something;что-то
a shopping centre/a mall;торговый центр
to have a toothache;иметь зубную боль
to have a headache;иметь головную боль
to go on holiday;идти в отпуск
a bad cold;сильная простуда
enought;достаточно
difference;разница
waiter;официант
waitress;официантка
salary;зарплата
urgently;срочно
a cause;причина
an accident;несчастный случай
at the end;в конце
a college graduate;выпускник колледжа
just a beginner;новичек
most of them;большинство из них
former;бывший
jolly;веселый, славный
well-bred;хорошо воспитанный
a brother-in-law;зять
elder;старший (брат или сестра)
a member;член
a house-wife;домохозяйка
only;только 
naughty;непослушный 
to be fond of/to be keen on;увлекаться
to be eager;очень хотеть
to be against;быть против
because of;из-за
the same age;ровесница
my age;моя ровесница
relative;родственник
to take...out of;вытаскивать из
a bookcase;книжный шкаф
chalk;мел
at the age of;в возрасте
to prepare;приготовить
an exercise;упражнения
to bring;приносить 
obedient;послушный
already;уже
the same + сущ;тот же самый
the same + сущ as;такой же как и 
to get up;вставать
open-hearted;искренний
sociable;общительный
cheerful;жизнерадостный
well-built;широкоплечий
dark-haired;темноволосый
responsible;ответственный
selfless;неэгоистичный
reliable;надежный
rude;грубый
besides;кроме того
polite;вежливый
fair-haired;светловосый
honest;честный
a person;человек
a meeting;встреча
They say;говорят
unfortunately;к несчастью
slim;стройный
to sail;ходить под парусом
throught;через
along;вдоль, по 
to become;становиться 
sometimes;иногда
own;собственный
industriousness;трудолюбие
a cellar;подвал
a pantry;кладовка
an attic;чердак
hang;висеть
stand;стоять
a curtain;занавеска
a sheet;простынь 
a pillow;подушка
a chest of drawer;комод
a blanket;одеяло
a comb;гребешок(расческа)
a brush;расческа(массажная)
to be famous for;быть знаменитым
at once;сразу, незамедлительно
farther;дальше
dear;дорогой
It is just the time;как раз время что-то сделать
sink;раковина
dishes;посуда
left;осталось
wear;носить
stink;вонять
a degree;градус
to boil;кипеть, закипать
to cost;стоить
to teach;преподавать
to meet;встречать
a week/a day;в неделю/в день
to stay;останавливаться
to do morning exercises;делать зарядку
wo wash hair;мыть голову
a little/a bit;немного
a secretary;секретарь
to rain;идет дождь
dry;сухой
to go to bed/sleep;ложиться спать
a musicial instrument;музыкальный инструмент
a working day;рабочий день
to turn on/off;вкл/выкл
to leave;покидать
to catch a bus;ловить автобус
a factory;завод
to gather;собирать
a fairy-tale;сказка
a violin;скрипка
to dress;одеваться
to whistle;свистеть
yet;ещё, до сих пор
a cartoon;мультфильм
especially;особенно
so/that is why;поэтому
to get;получать
early;рано
to attend a course;посещать курсы
to have/take a bath;принимать ванну
to come home;приходить домой
to collect;собирать
to make one`s bed;застилать кровать
porridge;каша
to go shopping;ходить за покупками
to wait for;ждать кого-то/чего-то
about;около, примерно
to boil;варить кипятить
how about/what about;что насчет?
ham;ветчина
to gather mashrooms;собирать грибы
to water;поливать
to solve the problem;решать проблему
a kindergarten;детский сад
to go for a walk;ходить гулять
for an hour;на час
extra;лишний
change;сдача
to borrow;одалживать
to lend;занимать
which/that;который
a turn;очередь
to keep a word;держать слово
in time;вовремя
to listen to;слушать кого-то
a day;в день
on week days;по будням
at the weekend;в выходной
to cause;вызывать, являться причиной
an accident;неприятный случай
to take place;иметь место, проходить
to mean;значить, обозначать, подразумевать
to go around;вращаться, обойти
to grow;расти, вырастать
an interpreter;устный переводчик
another;другой
other;другие
a liar;лжец
to tell the truth;говорить правду
someone;кто-то
somebody;кто-нибудь
to flow into;впадать в
to ask;спрашивать
perhaps;возможно
the meal;еда (трапеза)
to insist;настаивать
to apologize;извиняться
to congratulate;позравлять
to belong to;принадлежать
each;каждый
plenty of;достаточно
close;близкий, близко
a suit;костюм
to ring the bell;звонить в звонок
a telephone answering machine;автоответчик
to own;владеть
to make sense to;иметь значение для
to take...seriously;воспринимтаь всерьез
the whole;целый
to pay for;платить за
exactly;точно
to matter to;быть важным, иметь значение
something else;что-то ещё


